Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	47.0	La maestra sembra stanca				 | agg | fless 3 | indic pres | raising agg | raising verbo | sembrare | sogg def | sogg femm | sogg nom | sogg prev | sogg sing | 
		La maestra la par straca	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		La maestra la par straca.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La maestra la par straca.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La maestra la me par straca.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ra maistra a smja sctanca	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A mestra la pae straca	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		A meistra a me pa stanca	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		A mestra a pa straca	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		La maestra l'am par straca	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | agg | clit sogg espl | fless 3 | indic pres | raising agg | raising verbo | sembrare | sogg def | sogg femm | sogg nom | sogg prev | sogg sing | 
		La mastra la m per stoffa	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		La maestra la par stufa	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		La maestra a smija straca	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		La maestra l'à smeja straca	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		A mestra a smia stanca	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		La maestra la par stufa (stoefa)	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		A mestra a pe stanca	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		La maestra la par straca	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		La maestra la somea straka	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		LA maestra lampè straca	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A mestra a paa stanca	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		La mestra e somea straca	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La maestra (e') sembra stanca	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		Ra maestra la somea straca	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		La maest la par straca	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		A meistra a pa stracca	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		A meistra a po stanca	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		La maestr la sembra stanca	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		La maestra la pè straca	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A maistra la paa straca	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		La maestra a la paar straca	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La maestra la par straca	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La maestra a la paar straca	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La maestra la pare stufa	Longare	Longare,Vicenza,Veneto	Meridionale	
		La maestra la somea straca	Malonno	Malonno,Brescia,Lombardia	Orientale	
		La maestra la par straca	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		La maestra (la) me par stufa	Mestre	Venezia,Venezia,Veneto	Lagunare	
		La maestra la par straca	Milano1	Milano,Milano,Lombardia	Occidentale	
		La maestra la par straca	Milano2	Milano,Milano,Lombardia	Occidentale	
		La maestra la par stanka	Milano4	Milano,Milano,Lombardia	Occidentale	
		La mestra e semce stracca	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
