Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	23.0	Vorrei poterti parlare subito, (ma purtroppo e` tardi)				 | avv temp | avv temp | avv temp | clit 2 | clit climb | clit ogg indir | condiz sempl | coord frase | essere | fless 1 | fless 3 | indic pres | inerg | inf doppio | potere | pro | pro | volere | 
		A volaris parlat subet, ma purtrop l'è tardi	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Voleria poder parlarte subit, (ma l’è masa tardi)	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Voleria parlarte subit, ma l’è masa tardi	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Voleria parlarte subit, ma ormai li è tardi.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		E vuree puraite parlee subti	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A vorei podeete parlae subito ma purtropo l'è tardi	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		Me saie cau parlate aua, ma me spiaze che l'è tardi	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Orie pueite parlà subetu, ma purtropu l'è tardi	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		A vures tcacararat subit, ma l'e' tardi (e go da andr ia)	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | avv temp | avv temp | avv temp | clit 2 | clit climb | clit ogg indir | clit sogg espl | condiz sempl | coord frase | essere | fless 1 | fless 3 | indic pres | inerg | inf doppio | potere | pro | pro | volere | 
		A vrè psair scorar sobbit con te	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Am piasria ed puterat ciacarar subit ma l'è trop tardi	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		E vorisso parlati subit, ma purtrop a l'é tard	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		J vurarissi pudì parleti suttu	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		A vureiva pureite parlà aura	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Vures parlat subit ma l'e trop tard	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		Vurie parlete subbetu ma u l'è tardi	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Voria poderte parlar subit	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Volarese podè te descore deboit, ma 'l è purmasa tarz	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Me avreb voja ad scor cun te sobit, purtrop le terd	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		Orie poite parlà subetu	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		O volarès podé ciacarati subit, ma purtropo al e tart	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Ti vorrei potè parlà subito	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		Voraress podé parlatt subit, ma purtopp l'è tardi	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Voarie poder parlarte suito, (ma ormai l'e tardi)	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		Orie pueite parlà subetu	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		Orereivu purei parlo subetu, ma u l'è tordi	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		Vorrei poterti parlare subito	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		A vreb putet parlé sobat (ma purtrop l'è terd)	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A voreai podete parlare subeto ma purtropo l'è tardi	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		Gares piasé de parlat subet	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A me piasaria pudè parlat subit	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A me piasaria pudé parlat sübit	Lecco	Lecco,Lecco,Lombardia	Orientale	
