Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	18.0	Il tuo amico e` andato a casa ieri, e stamattina è arrivata tua nonna				 | acc partic sogg | acc partic sogg | aux E | aux E | avv temp | avv temp | coord frase | fless 3 | inacc | inacc | indic pass pross | indic pass pross | poss 2 | poss 2 | PP | PP indef | PP loc | PP sing | sogg def | sogg def | sogg femm | sogg masch | sogg nom | sogg nom | sogg postv | sogg prev | sogg sing | sogg sing | 
		Al to amis l'è andac a ca ier e stadoma l'è ruat la tua ava	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		El to amico l’è na a casa ieri/algeri e stamatina  è arivà to nona.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		El to amico l’è na a casa algeri e stamatina  è arivà to nona.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		El to amico l’è na a casa algeri e stamattina  è arivà to nona.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		U toh amisc u l'a 'ndoo a cò ieri e sctamaten u l'a rivoja toh nonna	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		U to amigo g'è ndà a ca aiei e stama'ten l'è arivà to nona	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		U to amigu u l'è anetu a ca vei, e stamatin l'è arivau to mué grande	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		U to amigu l'è anon a cà vej e stamatin a l'è arivà to nona	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Al to amig l'e' anda' a ca ier e ista matina l'e' ria' to nona	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | acc partic sogg | aux E | aux E | avv temp | avv temp | clit sogg espl | coord frase | fless 3 | inacc | inacc | indic pass pross | indic pass pross | poss 2 | poss 2 | PP | PP indef | PP loc | PP sing | sogg def | sogg def | sogg femm | sogg masch | sogg nom | sogg nom | sogg postv | sogg prev | sogg sing | sogg sing | 
