Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	7.0	Avendo mangiato troppa torta, Gianni si è sentito male				 | acc partic sogg | aux A | aux E | aux to C | avv mod | clit 3 | clit rifless | fless 3 | gerundio composto | indic pass pross | N proprio | ogg dir | ogg femm | ogg indef | ogg sing | pro | QP ogg dir | sogg def | sogg def | sogg masch | sogg masch | sogg prev | sogg prev | subord | trans | 
		Gianni al se sintit mal parche la maiat trop torta	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		El Giani l’ha magnà masa torta e l’è sta mal.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La magnà masa torta, così el Giani  el se sentì mal.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Siccome l’aveva magnà masa torta, Gianni el s'è sentì mal	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Dato che u l'ò mangioo troppa turta, Gianni u s'à sentù moo	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		Giane i se nteso mae perché già mangià tropa torta	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		U Giani u s'è sentiu ma aprovu cu l'à mangiau tropu turta	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		omessa	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Avend magna' tropa torta, Giani al s'e' sentest mal	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux A | aux E | aux to C | avv mod | clit 3 | clit rifless | clit sogg espl | fless 3 | gerundio composto | indic pass pross | N proprio | ogg dir | ogg femm | ogg indef | ogg sing | pro | QP ogg dir | sogg def | sogg def | sogg masch | sogg masch | sogg prev | sogg prev | subord | trans | 
		Gianni al s è sintò mel, l a magnè tropa tourta	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Giani l'è sta mal parchè l'a magnà tropa torta	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
