Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
2.0	4.0	E io, cosa mangio?				 | disl sx | fless 1 | indic pres | interr dir | pro | sogg pron | trans | WH ogg dir | WH semplice | 
		E mi cuss e mangiu?	Alassio	Alassio,Savona,Liguria	Gallo-Italico Ligure	 | clit sogg | disl sx | fless 1 | indic pres | interr dir | pro | sogg pron | trans | WH ogg dir | WH semplice | 
		E mi, cosa ch’i mangg-ni?	Alba	Alba,Cuneo,Piemonte	Alto piemontese	 | disl sx | fless 1 | indic pres | interr dir | pro | sogg pron | trans | WH ogg dir | WH semplice | 
		E mi chelca mai?	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		E mi sa magna?	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		E mi cosa magno?	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		E mi cosa magno?	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		E mi, cose mang?	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		E mi, cosa magno?	Altavilla Vicentina	Altavilla Vicentina,Vicenza,Veneto	Meridionale	
		E mi, cosa magno?	Alte Ceccato	Montecchio Maggiore,Vicenza,Veneto	Centro-settentrionale	
		E mi, che magnite?	Amblar	Amblar,Trento,Trentino Alto Adige	Ladino-anaunico	 | disl sx | fless 1 | indic pres | interr dir | pro | sogg encl | sogg pron | trans | WH ogg dir | WH semplice | 
		E jo, ce mangezu?	Andreis	Andreis,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		E jo, ze mangijo, jo?	Aquileia	Aquileia,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		E me cosa mangio?	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		E mi, cose mangiu?	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		E mi, cossa magno?	Arsiero	Arsiero,Vicenza,Veneto	Meridionale	
		E mi, cose mangiu?	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		E mi, cus a magni?	Bagnolo S. Vito	Bagnolo San Vito,Mantova,Lombardia	Mantovano	
		E jo, ce mangia?	Barcis	Barcis,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		E mi, cusa magna?	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | disl sx | fless 1 | indic pres | interr dir | pro | sogg pron | trans | WH ogg dir | WH semplice | 
		E iu, chi mangiu?	Biancavilla	Biancavilla,Catania,Sicilia	Area orientale non metafonetica	
		omessa	Bologna1	Bologna,Bologna,Emilia Romagna	Orientale	
		E mè cosa magna?	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		E mi, cusa magnia?	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
