Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	1.0	Il direttore è arrivato				 | acc partic sogg | aux E | fless 3 | inacc | indic pass pross | sogg def | sogg masch | sogg nom | sogg prev | 
		Al diretor l'è ruat	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Él diretor l’è arivà.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Él diretor l’è arivà.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Él diretor l’è arriva.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		U diretuu u l'à rivoo	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		U diretoe g'è arivà	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		L'è arivau u diretù / U diretù u l'è arivau	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		U diretu l'è arivon	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		L'e' ria' al diretor	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux E | clit sogg espl | clit sogg espl | fless 3 | inacc | indic pass pross | sogg def | sogg masch | sogg nom | sogg prev | 
		Al diretour l è arivé	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Al diretor l'è rivà	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Al diretor a l'è rivà	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		'L diretor l'è rivà	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		U direttù l'è rivò	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		El cap l'è rivà	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		U diretu u l'è arivou	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		El diretor l'è arivà	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		El diretor 'l è lugà	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Le arrivat e diretor	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		U diretù l'è ariò	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		El diretôr al è rivât	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Il direttore è arrivato	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		Ur diretur l'è rivat	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		El diretor l'é rivà	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		U diretù l'è orio	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		U diretù u l'è rivun	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		Il direttore l'è arivato	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		E diretor l'è arivé	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		O diretoe i è rivà	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		Al diretur al è rivaa	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Ul diretür a l’è rivaa	Lecco	Lecco,Lecco,Lombardia	Orientale	
		El diretur l'è rivà	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Ul diretür a l’è rivaa	Lecco	Lecco,Lecco,Lombardia	Orientale	
		El diretore sè rivà	Longare	Longare,Vicenza,Veneto	Meridionale	
		L'è riat al diretur	Malonno	Malonno,Brescia,Lombardia	Orientale	
		Al diretur l'è rivà	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		El diretor (el) sè rivà	Mestre	Venezia,Venezia,Veneto	Lagunare	
		El diretur a l è arivà	Milano1	Milano,Milano,Lombardia	Occidentale	
		El diretur l'è rivà	Milano2	Milano,Milano,Lombardia	Occidentale	
		El diretúr l e rivà	Milano4	Milano,Milano,Lombardia	Occidentale	
		El direttur a l'è rivat	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		'L diretor a l'é rivà	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		El diretor o l'è rivà	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		L'è ruà 'l diretur	Monno	Monno,Brescia,Lombardia	Orientale	
		El diretor l'è rivà	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		El diretor l'è rivà	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		El diretore (el) sè rivà	Padova1	Padova,Padova,Veneto	Meridionale	
		Seconda versione	Padova100	Abano Terme,Padova,Veneto	Abruzzese occidentale	 | acc partic sogg | aux E | clit 5 | fless 3 | inacc | indic pass pross | sogg def | sogg masch | sogg nom | 
		Terza versione	Padova100	Abano Terme,Padova,Veneto	Abruzzese occidentale	 | acc partic sogg | assenza acc partic | assenza acc partic | assenza acc partic | clit sogg espl | clit sogg espl | clit sogg espl | clit sogg espl | clit sogg espl | fless 3 | inacc | indic pass pross | sogg def | sogg masch | 
		Prima versione aggiornata	Padova100	Abano Terme,Padova,Veneto	Abruzzese occidentale	
		El diretor ze rivà	padova2	Padova,Padova,Veneto	Meridionale	
		Il diretor al'è rivat	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		El diretor el ze rivà	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		'L diretur a l'è rivà	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		U diretù l'è rivò	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Le rivà el diretor	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		Al diretœr oul ei arrivá	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		U diretù u l'è arivou	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		El diretor l'è rivat	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
