Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	3.0	I commercianti hanno aumentato i prezzi				 | aux A | ergat | fless 6 | indic pass pross | ogg def | ogg masch | ogg plur | sogg def | sogg masch | sogg nom | sogg prev | trans | 
		I comerciant i a aumentat i pressi	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		I comercianti  i ha aumentà i prezi.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I comercianti i ha aumentà i prezi.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I commercianti  i ha aumentà i prezi.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I mersej an chersciu i prexi	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		I butegai g'ian cresù i prezi	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		I butege an fetu muntà i prezi	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		I bitegé i l'an aumenton i presi	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		I venditor ia aumenta' i prezi	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | aux A | clit sogg espl | ergat | fless 6 | indic pass pross | ogg def | ogg masch | ogg plur | sogg def | sogg masch | sogg nom | sogg prev | trans | 
		I butgher i an aumentè i prezi	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		I comerciant ja alzà i prezi	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Ij comercian a l'han aumentà ij pressi	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		I cumercionti j'on aumantà i prezzi	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		I neguzianti i han aumentò i presgi	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		I butigher i a carsì i presi	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		I bitteghee i l'han aumentou i predzi	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		I botegheri i ha cresù i prezi	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		I marcanti i à parà su i prezi	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		I cumercint ja aumentè i prez	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I biteghe l'an ersuu i presi	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		I cumersans e an aumentaat i presis	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I commercinati hanno aumentato prezzi	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		I buteghee i a cressut i prezi	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		I comercianti i ha aumentà i prezi	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		I cummercianti an aumentò i prezi	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		I buteghe i-han arsun i prexi	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		I commercianti l'hanno aumentato i prezzi	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		I comercent i ha aumenté i prez	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I butegai i an montà i presii	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		I cumerciant i an alzà so i prezi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I cumerciant i a aumentà i prezzi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I cumercianti i a aümentà i prezzi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		'I ga alsà i presi	Longare	Longare,Vicenza,Veneto	Meridionale	
		I butigher ià crisit i prese	Malonno	Malonno,Brescia,Lombardia	Orientale	
		I butigher i a cresì i presi	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		I comercianti (i) ga cresuo i presi	Mestre	Venezia,Venezia,Veneto	Lagunare	
		I cumerciant an aumentà i presi	Milano1	Milano,Milano,Lombardia	Occidentale	
		I negusiant an cresù i presi	Milano2	Milano,Milano,Lombardia	Occidentale	
		I kumer&#269;ant i an aumentà i prèsi	Milano4	Milano,Milano,Lombardia	Occidentale	
		I commercians é han aumentas i prisis	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Ij comerciant a l'han aumentà ij pressi	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		Ij comerciant j'han aumentà j pressi	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		I butigher i-ha alsà i presi	Monno	Monno,Brescia,Lombardia	Orientale	
		I botegheri i ha cresù i prezi	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		I comercianti i ha aumentà i prezi	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		I comercianti ga (aumentà) cresuo i pressi	Padova1	Padova,Padova,Veneto	Meridionale	
		I commercianti gà alsà i pressi	padova2	Padova,Padova,Veneto	Meridionale	
		I comercians an alsat i presins	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I comercianti i ga aumanta(do) i presi	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		I negosiant a l'an aumentà i presi	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		I cumercianti i an rzu i prezi	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		I comercianti i ha aumentà i pressi	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		Loun marchan il an òumantá loun prê	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		I buttege an aumentou i prezi	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		I marciadans e han alzat i presis	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I comercent ia aumentè i prezi	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Ii betigai i gi-han aumentà ii presi	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		I cumerciant a l'han aumentà i prese	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		Ij comerciant a j'han chersù ij pressi	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Li coumerchant an aoumentà li pree	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		I negozianti i ha aumentà i presi	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		I comercianti ga aumentà i pressi	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		I comercians a' an aumentat i presins	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		I comercianti ga aumentà i	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		I comerzianc à aumentà i priejes	Selva di Val Gardena	Selva di Val Gardena/Wolkenstein in Groeden,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		I comercianti (i) gà aumentà i presi	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		Ij comerciant a l'han aumentà ij pressi	Torino	Torino,Torino,Piemonte	Alto piemontese	
		Ij comercoant a l'han chersu y pressi	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han aumentà ij pressi	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han chersù ij pressi	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han chersì ij pressi	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		I cumerciont inu crasù i presi	Trecate	Trecate,Novara,Piemonte	Novarese	
		I comercianti i ga tirà su i pressi	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		I comercianti i ga aumentà i presi	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		i botegari i gà alzà i pressi	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		I bitegai i an isau i preizi	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		I comarciant han crasu i presi	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		I butigher i ha (i ga) alsà so i presse	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	5.0	Gli devo parlare subito, (a Mario)				 | avv temp | clit 3 | clit climb | clit masch | clit ogg indir | disl dx | dovere | fless 1 | indic pres | inf sempl | PP | PP def | PP sing | pro | 
		Ho da parlac subet al Mario	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Bisògn che ghé parla/go da parlarghé subit,(al Mario)	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Bisògn che ghé parla / go da parlarghé subit,(al Mario)	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ghe devo parlar subito (a Mario)	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ei deev parlee subti	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A go da parlae subito	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		G o da parlà subitu au Mariu	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Ge devu parlà subetu au Mariu	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Ag dev cacarar subit a Marco	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | avv temp | clit 3 | clit climb | clit masch | clit ogg indir | clit sogg espl | disl dx | dovere | fless 1 | indic pres | inf sempl | PP | PP def | PP sing | pro | 
		A i o da scorri sobbit a Mario	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Bisogna ch'ag cicara subit	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Ei devo parlaje subit	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		J'ò da parleghi suttu	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		Ai devu parlò subito	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Go de parlà subit a Mario / A go da parlarg subit	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		ghe devu parlé subbetu	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Bisogn che ghe parla subit	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Ghe ai da descore deboto	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Me a jo da scor sobit	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		G ò da parlage subetu	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		O scugiu ciacarai daur man (a Mario)	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(e') li devo parlà subito	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		gh u da parlagh subit	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Deve parlarghe suito	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		Mié che ge parlesse subetu	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		A gh'è devu parlo subetu	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		(e) gli devo parlare subito	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		A iò da parlé sobat	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A ghe devo parlae subeto	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		Devi parlach subet	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A gu de parlach sübit	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A gu de parlach subit	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Ghe devo parlare suito	Longare	Longare,Vicenza,Veneto	Meridionale	
		Go de parlai subit al Mario	Malonno	Malonno,Brescia,Lombardia	Orientale	
		A gh'o da parlarach subit	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Go da parlarghe subito	Mestre	Venezia,Venezia,Veneto	Lagunare	
		G u de parlak subit	Milano1	Milano,Milano,Lombardia	Occidentale	
		Au de parlac subit	Milano2	Milano,Milano,Lombardia	Occidentale	
		Ge devi parlà (/Gu de parlag) sübit	Milano4	Milano,Milano,Lombardia	Occidentale	
		O hai di ciacare subit a Mario	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Deuv parleje subit	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I-j dev parle', subit	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		Ho da ciacolal subit	Monno	Monno,Brescia,Lombardia	Orientale	
		Ghe devo parlar subito	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		Deve parlarghe subito a Mario	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		Go da parlarghe subito / ? Ghe go da parlare subito	Padova1	Padova,Padova,Veneto	Meridionale	
		Go da parlarghe subito	padova2	Padova,Padova,Veneto	Meridionale	
		Ai di cjacarai subite	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Go de parlarghe subito	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		Deu parleie subit	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		Ai dev parlé subitu	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Deve parlarghe subito	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		A dœvou parlâ-lhi toussuito	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		Ge devu parlà subbetu	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		O scugni ciacarà a colp cun Mario	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A io da zcor sobti	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		E ghe deive parlaa subetu	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		I dev parleie subit	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		I-j devo parlar subit	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Li devou parlà subit	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Gh'ho da parlarghe subit	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Go da parlarghe subito, a lù	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'I j ai di fevelaj subita (a Mario)	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		Go da parlarghe subito	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		Muesse riesc rujené cun el	Selva di Val Gardena	Selva di Val Gardena/Wolkenstein in Groeden,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		Go da parlarghe suito	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		I-j devo parle-je subit (a Mario)	Torino	Torino,Torino,Piemonte	Alto piemontese	
		I-j devo parleje dun-a	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		I deve parleje subit	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		I-j devo parleje subit	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		I-j dev parlaji subit	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Such da parleia sutu	Trecate	Trecate,Novara,Piemonte	Novarese	
		Go da parlarghe subito	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Devo parlarghe subito	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
