Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
2.0	81.0	Che cosa ha fatto?				 | aux A | fare | fless 3 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH ogg dir | 
		Cusse ti hai faitu?	Alassio	Alassio,Savona,Liguria	Gallo-Italico Ligure	
		Cosa r’a-lu fat?	Alba	Alba,Cuneo,Piemonte	Alto piemontese	 | aux A | fare | fless 3 | indic pass pross | interr dir | partic | pro | trans | WH complesso | WH ogg dir | 
		Chel che la fac?	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		S’halo fat?	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Cosa alo fat?	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Cosa hat fat?	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Cosa u l'ò facc?	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		Cosa ga(l)o fato?	Altavilla Vicentina	Altavilla Vicentina,Vicenza,Veneto	Meridionale	
		Cosa galo fato?	Alte Ceccato	Montecchio Maggiore,Vicenza,Veneto	Centro-settentrionale	
		Che hal combinà?	Amblar	Amblar,Trento,Trentino Alto Adige	Ladino-anaunico	 | aux A | fless 3 | indic pass pross | interr dir | partic | pro | sogg encl | trans | WH ogg dir | 
		Ce al fat?	Andreis	Andreis,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		Ze l'aja (aja femm)fat?	Aquileia	Aquileia,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Cosi g'ia fato?	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		Cos u l'a fetu?	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Cossa galo fato?	Arsiero	Arsiero,Vicenza,Veneto	Meridionale	
		Cose t'è fon?	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Cus'è ch'la fat?	Bagnolo S. Vito	Bagnolo San Vito,Mantova,Lombardia	Mantovano	
		Ce ch'al à fat?	Barcis	Barcis,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		Cus al fat?	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | aux A | clit sogg espl | fare | fless 3 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH ogg dir | 
		Cosa ha fatto?	Biancavilla	Biancavilla,Catania,Sicilia	Area orientale non metafonetica	
		Cussel fat?	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Cus'al (ala) fat?	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Cus u l'à fattu?	Borghetto di Vara	Borghetto di Vara,La Spezia,Liguria	Gallo-Italico Ligure	
		Cut l'à faciti?	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		G'ha-l fat chi?	Borgonato1	Corte Franca,Brescia,Lombardia	Orientale	 | aux A | clit 3 | clit aux | clit masch | clit sogg | fare | fless 3 = fless 6 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH in situ | WH ogg dir | 
		G'ha-l fat chi?	Borgonato2	Corte Franca,Brescia,Lombardia	Orientale	 | aux A | clit 3 | clit aux | clit masch | clit sogg | fare | fless 3 = fless 6 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH in situ | WH ogg dir | 
		G'ha-l fat chi?	Borgonato3	Corte Franca,Brescia,Lombardia	Orientale	 | aux A | clit 3 | clit aux | clit masch | clit sogg | fare | fless 3 = fless 6 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH in situ | WH ogg dir | 
		G'ha-l fat chi?	Borgonato4	Corte Franca,Brescia,Lombardia	Orientale	 | aux A | clit 3 | clit aux | clit masch | clit sogg | fare | fless 3 = fless 6 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH in situ | WH ogg dir | 
		G'ha-la fat chi?	Borgonato5	Corte Franca,Brescia,Lombardia	Orientale	 | aux A | clit 3 | clit aux | clit femm | clit sogg | fare | fless 3 = fless 6 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH in situ | WH ogg dir | 
		Che g'ha-l fat chi?	Borgonato6	Corte Franca,Brescia,Lombardia	Orientale	 | aux A | clit 3 | clit aux | clit masch | clit sogg | fare | fless 3 = fless 6 | indic pass pross | interr dir | interr dir | partic | presenza comp | pro | trans | WH complesso | WH in situ | WH ogg dir | 
		G'ha-l fat chi?	Borgonato7	Corte Franca,Brescia,Lombardia	Orientale	 | aux A | clit 3 | clit aux | clit masch | clit sogg | fare | fless 3 = fless 6 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH in situ | WH ogg dir | 
		Cossa gaeo fatto?	Borgoricco 1	Padova,Padova,Veneto	Meridionale	 | aux A | fare | fless 3 | indic pass pross | interr dir | interr dir | partic | pro | trans | WH complesso | WH ogg dir | 
