Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	2.0	Me li sono letti tutti				 | acc partic clit | aux E | clit 1 | clit 6 | clit indir | clit masch | clit ogg dir | fless 1 | indic pass pross | ogg plur | pro | Q float | QP ogg dir | trans | 
		A i o legiut tuc	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Méi som lezùi  tuti.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Méi som lezùi  tuti.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I ho lezuoli tutti.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Me l'ho lezudi  tuti.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Em mju son lezuj tucci	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A mi gi son leti tuti	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		Me i o lesui tuti	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Me g'ò letti tuti	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		A mi son leti tuti	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic clit | aux E | clit 1 | clit 6 | clit indir | clit masch | clit ogg dir | clit sogg espl | fless 1 | indic pass pross | ogg plur | pro | Q float | QP ogg dir | trans | 
		A m li sai let tott	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		(mi) A mi son alzest tuti	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		E mi i j'on let tuit	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		J'ò lisgioij tucci	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		A mi son slui tucci	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Mi a son lisì teti	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		Me gio letti tutti	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Me i ho lezui tuti	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Me i ai liet tuti	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		-	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		Me l'ò lesui tuti	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
