Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	9.0	La barca è affondata in pochi minuti				 | acc partic sogg | aux E | ergat | fless 3 | indic pass pross | PP | PP avv | PP indef | PP plur | PP temp | QP aggiunto | sogg def | sogg femm | sogg nom | sogg prev | 
		La barca l'è andacia a font en d'un atom	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		La barca la s’è afondada en pochi menuti	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La barca lei nada a font en pochi minuti	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La barca l'ei nnda afont en pochi minuti	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ra borca a l'à fundoo in pochi minuti	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A barca l'è afondà en te poghi menuti	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		A barca a s'è persa (a l'è afundà) inte dotrei menuti	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		A barca l'è afundà inte pochi menuti	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		La barca l'e' afundada in du minut	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux E | clit sogg espl | ergat | fless 3 | indic pass pross | PP | PP avv | PP indef | PP plur | PP temp | QP aggiunto | sogg def | sogg femm | sogg nom | sogg prev | 
		La berca l è afundae in poch minut	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		La barca l'è sprufundada in poch minut	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		La barca a l'è fondà an pochi minuti	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		La barca l'a fundassi 'n tun sbarlogiu	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		A barca l'è andò a piccu an pochi minutti	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		La barca la s'è sfundada in pochi (pughi) minut	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		A barca la l'è affundae fitu	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		La barca la s'ha sfondàa en pochi minuti	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		La barca la s'à sfondà 'nte pochi menuti	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		La berca le affundeda sobit	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A barca (a) l'è anà su inte pochi menuti	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		La barcia e je lada a fond in poos minuus	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La barca è affondata in pochi minuti	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		Ra barca l'è naia a fund in poch menutt	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		La barca l'e affondada in pochi minuti	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		A barca l'è afundà in pochi menuti	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		A borca l'è andeta a fundu (fundò)in pochi menuti	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		La barca l'affonddata in pochi minuti	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		La berca l'è afundeda in poch minut	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A barca l'è andà de pico ente poghi menuti	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		La barca a l'è fundada in poch minut	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La barca la s'è fundada in pochi minot	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La barca a l’è fundada in poch minüt	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La barca sè 'ndà soto acua in pochi minuti	Longare	Longare,Vicenza,Veneto	Meridionale	
		La barca l'è nada a font an du minuch	Malonno	Malonno,Brescia,Lombardia	Orientale	
		La barca l'è sfundada in pochi minu	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		LA barca sè ndada so subito	Mestre	Venezia,Venezia,Veneto	Lagunare	
		La barca l è afundada in poc minut	Milano1	Milano,Milano,Lombardia	Occidentale	
		La barca l'è fundada in poc minut	Milano2	Milano,Milano,Lombardia	Occidentale	
		La barka l e ndada ðo in pok minü't	Milano4	Milano,Milano,Lombardia	Occidentale	
		La barcia é ie affondada in pus minus	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La barca a l'è sprofondà an poche minute	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		La barca a l'è 'nda a fond en poche minute	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
