Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	3.0	I commercianti hanno aumentato i prezzi				 | aux A | ergat | fless 6 | indic pass pross | ogg def | ogg masch | ogg plur | sogg def | sogg masch | sogg nom | sogg prev | trans | 
		I comerciant i a aumentat i pressi	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		I comercianti  i ha aumentà i prezi.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I comercianti i ha aumentà i prezi.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I commercianti  i ha aumentà i prezi.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I mersej an chersciu i prexi	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		I butegai g'ian cresù i prezi	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		I butege an fetu muntà i prezi	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		I bitegé i l'an aumenton i presi	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		I venditor ia aumenta' i prezi	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | aux A | clit sogg espl | ergat | fless 6 | indic pass pross | ogg def | ogg masch | ogg plur | sogg def | sogg masch | sogg nom | sogg prev | trans | 
		I butgher i an aumentè i prezi	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		I comerciant ja alzà i prezi	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Ij comercian a l'han aumentà ij pressi	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		I cumercionti j'on aumantà i prezzi	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		I neguzianti i han aumentò i presgi	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		I butigher i a carsì i presi	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		I bitteghee i l'han aumentou i predzi	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		I botegheri i ha cresù i prezi	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		I marcanti i à parà su i prezi	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		I cumercint ja aumentè i prez	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I biteghe l'an ersuu i presi	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		I cumersans e an aumentaat i presis	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I commercinati hanno aumentato prezzi	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		I buteghee i a cressut i prezi	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		I comercianti i ha aumentà i prezi	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		I cummercianti an aumentò i prezi	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		I buteghe i-han arsun i prexi	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		I commercianti l'hanno aumentato i prezzi	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		I comercent i ha aumenté i prez	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I butegai i an montà i presii	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		I cumerciant i an alzà so i prezi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I cumerciant i a aumentà i prezzi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I cumercianti i a aümentà i prezzi	Lecco	Lecco,Lecco,Lombardia	Orientale	
		'I ga alsà i presi	Longare	Longare,Vicenza,Veneto	Meridionale	
		I butigher ià crisit i prese	Malonno	Malonno,Brescia,Lombardia	Orientale	
		I butigher i a cresì i presi	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		I comercianti (i) ga cresuo i presi	Mestre	Venezia,Venezia,Veneto	Lagunare	
		I cumerciant an aumentà i presi	Milano1	Milano,Milano,Lombardia	Occidentale	
		I negusiant an cresù i presi	Milano2	Milano,Milano,Lombardia	Occidentale	
		I kumer&#269;ant i an aumentà i prèsi	Milano4	Milano,Milano,Lombardia	Occidentale	
		I commercians é han aumentas i prisis	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Ij comerciant a l'han aumentà ij pressi	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		Ij comerciant j'han aumentà j pressi	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		I butigher i-ha alsà i presi	Monno	Monno,Brescia,Lombardia	Orientale	
		I botegheri i ha cresù i prezi	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		I comercianti i ha aumentà i prezi	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		I comercianti ga (aumentà) cresuo i pressi	Padova1	Padova,Padova,Veneto	Meridionale	
		I commercianti gà alsà i pressi	padova2	Padova,Padova,Veneto	Meridionale	
		I comercians an alsat i presins	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I comercianti i ga aumanta(do) i presi	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		I negosiant a l'an aumentà i presi	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		I cumercianti i an rzu i prezi	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		I comercianti i ha aumentà i pressi	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		Loun marchan il an òumantá loun prê	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		I buttege an aumentou i prezi	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		I marciadans e han alzat i presis	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I comercent ia aumentè i prezi	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Ii betigai i gi-han aumentà ii presi	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		I cumerciant a l'han aumentà i prese	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		Ij comerciant a j'han chersù ij pressi	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Li coumerchant an aoumentà li pree	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		I negozianti i ha aumentà i presi	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		I comercianti ga aumentà i pressi	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		I comercians a' an aumentat i presins	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		I comercianti ga aumentà i	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		I comerzianc à aumentà i priejes	Selva di Val Gardena	Selva di Val Gardena/Wolkenstein in Groeden,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		I comercianti (i) gà aumentà i presi	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		Ij comerciant a l'han aumentà ij pressi	Torino	Torino,Torino,Piemonte	Alto piemontese	
		Ij comercoant a l'han chersu y pressi	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han aumentà ij pressi	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han chersù ij pressi	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		Ij comerciant a l'han chersì ij pressi	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		I cumerciont inu crasù i presi	Trecate	Trecate,Novara,Piemonte	Novarese	
		I comercianti i ga tirà su i pressi	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		I comercianti i ga aumentà i presi	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		i botegari i gà alzà i pressi	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		I bitegai i an isau i preizi	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		I comarciant han crasu i presi	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		I butigher i ha (i ga) alsà so i presse	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	25.0	I ragazzi si sono visti tutti allo specchio				 | acc partic sogg | aux E | clit 6 | clit rifless | fless 6 | PP | PP def | PP loc | PP sing | Q float | sogg def | sogg masch | sogg nom | sogg plur | sogg prev | trans | 
		I bagai i se idut tuc en del spec	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		I putéi i s’è visti tuti en del spègio.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I putéi i sa vardadi tuti al spègio.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I ragazzi i s’è vardadi tutti nel spegio.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		I fieuj es son viscti tucci in tu speegg	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		I fanti i sen tuti mià entu specio	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		I figiò se sun amiè tuti intu spegiu	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		I regasi i s'en visti (vusti) tuti davanti auu spegiu	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		I ragaz i s'e' isti tuti al spec	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux E | clit 6 | clit rifless | clit sogg espl | fless 6 | PP | PP def | PP loc | PP sing | Q float | sogg def | sogg masch | sogg nom | sogg plur | sogg prev | trans | 
		Chi ragazu i s sen vest tott in dal spec	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		I ragazit i s'è vist tuti in t'al spec	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Ij bofi as son vist tuit ant le specc	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		I matai j'on vustisi tucci 'ntal spegju	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		I fioi is son visti tucci an tu speggiu	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		I ragas i s'è vist tuti (toeti) al spech	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		I figieu i sè sun amié tutti au speggiu	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		I putei i s'ha visti tuti 'ntel spegio	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		I tosat i s'à vardà tuti 'nte 'l specio	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		I burdel i se vest tot in te spec	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I regasi i s en usti tuti int u spegiu	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		I frutar si son viduuz duć tol spieli	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I ragazzi (e') si so visti tutti allo specchio	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		I tuson i s'a vist tucc ar specc	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		I tosat i se ha vist tut in tel specio	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		I regassi i sen usti tutti intu spegiu	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		I matetti i se sun visti tutti a-u spegiu	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		I ragazzi si sono visti tutti allo specchio	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		I ragaz i s'è vest tot in t'e spec	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I fanti i s'en visti tuti ao specio	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		I fiöö a se sun vist tüch int al spech	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I bagai i sen vedù toc al spec	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I fioo a se sun vist tuch int al spech	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I tozi se ga visti tuti a(l)o specio	Longare	Longare,Vicenza,Veneto	Meridionale	
		Tuch i boce i sa se speciach	Malonno	Malonno,Brescia,Lombardia	Orientale	
		I putei is'è vist tuti al spec	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		I fioi se ga visto tuti al specio	Mestre	Venezia,Venezia,Veneto	Lagunare	
		I fio s in vist tuc nel spec	Milano1	Milano,Milano,Lombardia	Occidentale	
		I fio sin vist tuch in del spec	Milano2	Milano,Milano,Lombardia	Occidentale	
		I fiö si in vist tüè intel speè	Milano4	Milano,Milano,Lombardia	Occidentale	
		I fantas si son cialas duc in tal spieli	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Ij fieuj a son vist-se tuj a le specc	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I matot i son vistsse tucc a le specc	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		I gnarei i s'è viscc tucc te 'l specc	Monno	Monno,Brescia,Lombardia	Orientale	
		I putei i s'ha visti tuti al spegio	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		I tosati i se ha vist tuti int'el specio	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		I fioj i se son visti tutti in tu speggiu	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		I tozi se ga visto (*visti) al specio / I tozi se se visti al specio	Padova1	Padova,Padova,Veneto	Meridionale	
		I tosi i se ga' varda tuti al speccio	padova2	Padova,Padova,Veneto	Meridionale	
		I fandasins a si son viudus ducju tal spieli	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I putei i se ga visto (i se ze visti) tuti nel specio	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		I cit a sun vistse tuj en'tlu spec	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		I fioi i s son visti tucci antu spegia	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		I fioi i se a vist tuti al specio	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		Loun joúvan i’s soun bœcá a l’eimiralh	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		I figiò i sen visti tutti in tu spegiu	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		I frus e son duc cialas tal spieli	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I ragaz i se vest tot te spec	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Ii fanti i s'en tuti mià au speciu	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		I cit a sun vist tuti a lu spec	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		Le masnà a 'son vist tuit ant le specc	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Li jouve se soun vit tuti a miralh	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		I putei i s'ha vardai tuti al spegio	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		I fioi / tosi se ga visto tuti al specio	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		I zovanos a' si son vidus ducju tal spieli	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		I fioi se ga visto tuti alo specio	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		I tusi (i) se ga visto tuti al specio	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
