Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	15.0	Ti sei messa i calzini bianchi				 | acc partic sogg | agg | aux E | clit 2 | clit rifless | fless 2 | indic pass pross | ogg def | ogg dir | ogg masch | ogg plur | pro | 
		Te se metuda i scalfaroc corc	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Te te sei mesa i calzòti bianchi.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Te set mese i calzòti bianchi.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		T'hai mes i calzoti bianchi.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ti t'ej missa i scapigni gianchi	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		Te te sien misa ià cauza bianca	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		Ti t'è misu i scapin gianchi	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Ti t'è misa (musa) i casetin gianchi	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		At tat s'e' misa i calset bianchi	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | agg | aux E | clit 2 | clit rifless | clit sogg espl | fless 2 | indic pass pross | ogg def | ogg dir | ogg masch | ogg plur | pro | 
		T a t i mess i calzeten bianch	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Ta t'je misa i calzit bianc	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		E t'et sè butà ij caussit bianch	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		Tè matotti 'l causotti bionchi	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		Te te missa ei cazotte gianche	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		T'at sa mesa i casteu bianc	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		Ti te missu i chesetini gianchi	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Te t'hai metù (Te te sei metua) i calzoti bianchi	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Te te à metù i caazet bianc	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Tat ci messa i calzten bienc	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		Ti t'è musa e casete gianke	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		Tu ti ses mituda i calsins blancs	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(e') ti se' messa i calzini bianchi	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		tu s sett metuda i calzett bianch	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Te te se mesa i calzet bianchi	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		ti t'è missa e cassetine gianche	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		Ti t'è miscia i casettin gianchi	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		Tu ti sei messa i calzini bianchi	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		T'at ci mesa i calzet biench	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		Te t'ei misa e caosere gianche	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		A ta set metuda i calzett bianch	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A ta set metuda i calzett bianch	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Te se metuda i calzet bianch	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Te te si mesa i calseti bianchi	Longare	Longare,Vicenza,Veneto	Meridionale	
		Te mitit so i scarpì bianc	Malonno	Malonno,Brescia,Lombardia	Orientale	
		A t'at se misa i calsetin bianch	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Ti te si mesa i calzeti bianchi / Ti te ga meso	Mestre	Venezia,Venezia,Veneto	Lagunare	
		Te se mis i calsin bianc	Milano1	Milano,Milano,Lombardia	Occidentale	
		te mis sù i calsetit bianc	Milano2	Milano,Milano,Lombardia	Occidentale	
		Te s e mesa i kalset biank	Milano4	Milano,Milano,Lombardia	Occidentale	
		Tu ti ses mituda i calzins blancs	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		It l'has butate ij causset bianch	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I t'he' butate j caosset bianch	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		Te t-sè caciada so i calsi bianc	Monno	Monno,Brescia,Lombardia	Orientale	
		Te as mesa i calzoti bianchi	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		Te te si messa i calseti bianchi	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		Ti te sei messa e cause gianche	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		°Te te sì mesa i calzeti bianchi / Te te ghe meso i calzeti bianchi	Padova1	Padova,Padova,Veneto	Meridionale	
		Te te si messa i calseti bianchi	padova2	Padova,Padova,Veneto	Meridionale	
		Tu ti sos mitut i cjalsus blancs	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Te te ze mesa i calseti bianchi	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		T'sei butate i causet bianc	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		T t'è butò i scapein gianchi	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Te ti si mesa i calseti bianchi	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		At se bitá lâ chòusse blanche	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		Ti t'è missa i casetin gianchi	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		Tu has mitut i       blancs	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Tat ci mes i calzet biench	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Te t'ei misa ee cause gianche	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		T'sei butate i causin bianc	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		It sé butà ij caussettin bianch	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Tu t' se butà la chaousa blancha	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Te te sei mesa i calseti bianchi	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Te te ghe meso i calseti bianchi	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'I ti ti sos mituda i calsins blancs	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		Te te ga meso i calseti bianchi	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		Te ti si mesa i calsiti bianchi	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		It ses butate ij causettin bianch	Torino	Torino,Torino,Piemonte	Alto piemontese	
		It ses butate y causset bianch	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		It ses butate y causset bianch	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		It ses butate ij causset bianch	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		A t'é butati ij causset bianch	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		T'è misata i calsetit bionc (t'è butata i calsitit bionc)	Trecate	Trecate,Novara,Piemonte	Novarese	
		Te te ga messo i calseti bianchi	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Te se ga messo le calzete bianche	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		Te ti si messa i calzetti bianchi	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		Ti te sei mesa e causete gianche	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		omessa	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		(te) te se messa i calsì bianch	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	17.0	Ci devi venire anche tu				 | clit climb | clit loc | dovere | fless 2 | inacc | indic pres | inf sempl | sogg postv | sogg pron | 
		Ta da igni a ti	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Te gai da vegnirghe anca ti.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Te devi vegnir anca ti.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Te ghe devi vegnir anca ti.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ti devi vnì anche ti	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		Te devi vegnigne 'ncò te	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		M a (busa) che ti ge veni ti ascì	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Ti ge devi vegnì anche ti	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
